cs	imsi	cell_id	rnti
4.2093	9	2	22
4.21002	9	2	22
4.21002	9	2	22
4.2399	3	1	5
4.2575	3	5	18
4.2895	3	1	5
4.3071	3	5	18
4.3071	9	1	1
4.3101	11	5	19
4.31077	11	5	19
4.31077	11	5	19
4.31077	11	5	19
4.31077	11	5	19
4.31077	11	5	19
4.31077	11	5	19
4.3341	7	2	23
4.33477	7	2	23
4.33477	7	2	23
4.33477	7	2	23
4.33477	7	2	23
4.33477	7	2	23
4.3503	7	1	3
4.3743	7	2	23
4.4079	3	1	5
4.4159	7	1	3
4.5103	3	5	18
4.5853	9	5	20
4.5855	3	1	5
4.58602	9	5	20
4.58602	9	5	20
4.58602	9	5	20
4.5903	2	1	11
4.6047	3	5	18
4.6079	2	2	21
4.6079	9	1	1
4.6127	3	1	5
4.6511	12	3	1
4.6991	2	1	11
4.7119	9	5	20
4.7471	2	2	21
4.7951	12	1	8
4.8079	9	1	1
4.9071	4	5	1
5.1087	12	3	1
5.1471	9	5	20
5.1583	2	1	11
5.1727	2	2	21
5.2079	12	1	8
5.2109	9	2	24
5.21152	9	2	24
5.21152	9	2	24
5.21152	9	2	24
5.21152	9	2	24
5.3071	9	1	1
5.3117	10	4	7
5.31227	10	4	7
5.31227	10	4	7
5.31227	10	4	7
5.31227	10	4	7
5.3709	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.37152	3	2	25
5.4079	3	1	5
5.4109	10	2	26
5.41152	10	2	26
5.41152	10	2	26
5.41152	10	2	26
5.41152	10	2	26
5.41152	10	2	26
5.4623	12	3	1
5.4831	2	1	11
5.4911	2	2	21
5.5007	3	2	25
5.5087	12	1	8
5.5167	12	3	1
5.5887	3	1	5
5.7039	3	2	25
5.7215	9	2	24
5.7279	12	1	8
5.7501	9	5	21
5.75077	9	5	21
5.75077	9	5	21
5.75077	9	5	21
5.75077	9	5	21
5.75077	9	5	21
5.7535	9	1	1
5.8095	12	3	1
5.8175	9	5	21
5.9103	9	1	1
5.9951	12	1	8
6.0047	12	3	1
6.0095	12	1	8
6.0127	9	5	21
6.0239	9	1	1
6.0687	7	2	23
6.0703	3	1	5
6.0783	7	1	3
6.0895	7	2	23
6.0943	9	5	21
6.0991	7	1	3
6.1103	7	2	23
6.1341	9	3	11
6.13477	9	3	11
6.13477	9	3	11
6.13477	9	3	11
6.13477	9	3	11
6.13477	9	3	11
6.13477	9	3	11
6.2079	7	1	3
6.3071	7	2	23
6.3117	9	2	27
6.31227	9	2	27
6.31227	9	2	27
6.31227	9	2	27
6.31227	9	2	27
6.31227	9	2	27
6.31227	9	2	27
6.31227	9	2	27
6.3295	7	1	3
6.3455	7	2	23
6.3725	9	5	22
6.3727	9	1	1
6.37327	9	5	22
6.37327	9	5	22
6.37327	9	5	22
6.37327	9	5	22
6.37327	9	5	22
6.37327	9	5	22
6.37327	9	5	22
6.37327	9	5	22
6.3789	9	2	28
6.3791	9	1	1
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.37952	9	2	28
6.3823	9	1	1
6.4079	7	1	3
6.4125	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.41327	9	5	23
6.5103	10	1	6
6.5487	9	1	1
6.5487	10	2	26
6.6079	3	2	25
6.6079	10	1	6
6.6797	8	5	24
6.68027	8	5	24
6.68027	8	5	24
6.68027	8	5	24
6.68027	8	5	24
6.68027	8	5	24
6.68027	8	5	24
6.68027	8	5	24
